frame_number,landmark_id,x_pixel,y_pixel,z_normalized,visibility
11,9,1225,211,-0.0124,0.9999
11,10,1220,212,0.0266,0.9998
11,11,1326,288,-0.1271,0.9999
11,12,1285,318,0.1894,0.9998
11,13,1403,371,-0.2682,0.9743
11,14,1279,448,0.3037,0.3369
11,15,1357,527,-0.363,0.7912
11,16,1200,477,0.3377,0.3105
11,17,1347,566,-0.3884,0.7258
11,18,1172,469,0.3523,0.3062
11,19,1333,548,-0.3876,0.722
11,20,1175,460,0.3407,0.3111
11,21,1332,548,-0.3614,0.6896
11,22,1187,462,0.3343,0.2952
11,23,1376,631,-0.1025,0.9999
11,24,1393,639,0.1023,0.9996
11,25,1162,828,-0.0995,0.995
11,26,1484,918,0.0515,0.8919
11,27,1402,918,0.0633,0.9917
11,28,1659,1147,0.0293,0.8837
11,29,1441,922,0.083,0.9802
11,30,1721,1186,0.0239,0.9078
11,31,1393,1083,0.1086,0.9909
11,32,1621,1233,-0.0012,0.9221
12,0,1214,176,0.0249,0.9999
12,1,1229,147,0.0129,0.9999
12,2,1234,147,0.0129,0.9999
12,3,1239,146,0.013,0.9999
12,4,1224,148,0.0453,0.9999
12,5,1226,147,0.0453,0.9999
12,6,1227,146,0.0454,0.9999
12,7,1272,154,-0.0084,0.9999
12,8,1258,157,0.1328,0.9999
12,9,1231,202,0.0182,0.9999
12,10,1224,202,0.0596,0.9998
12,11,1350,273,-0.0975,0.9999
12,12,1286,301,0.2382,0.9998
12,13,1440,334,-0.2591,0.9769
12,14,1276,430,0.3373,0.3525
12,15,1376,468,-0.353,0.812
12,16,1199,413,0.3465,0.3751
12,17,1362,509,-0.3806,0.7529
12,18,1180,401,0.3539,0.3701
12,19,1345,501,-0.3777,0.7494
12,20,1186,394,0.3523,0.3745
12,21,1348,491,-0.3501,0.7198
12,22,1197,397,0.3457,0.3586
12,23,1368,608,-0.1029,0.9999
12,24,1388,617,0.1027,0.9996
12,25,1140,790,-0.1411,0.9953
12,26,1518,883,0.0049,0.9001
12,27,1306,1016,-0.0368,0.9921
12,28,1726,1094,-0.02,0.895
12,29,1361,1046,-0.0235,0.981
12,30,1767,1113,-0.0247,0.9162
12,31,1222,1140,-0.0173,0.9912
12,32,1729,1222,-0.0616,0.9292
13,0,1214,161,0.0439,0.9999
13,1,1229,132,0.0292,0.9999
13,2,1234,131,0.0293,0.9999
13,3,1239,131,0.0293,0.9999
13,4,1225,132,0.0648,0.9999
13,5,1226,131,0.0648,0.9999
13,6,1228,131,0.0649,0.9999
13,7,1272,139,-0.0046,0.9999
13,8,1258,141,0.1522,0.9999
13,9,1231,187,0.0327,0.9999
13,10,1224,187,0.0785,0.9998
13,11,1346,257,-0.1062,0.9999
13,12,1293,283,0.2689,0.9998
13,13,1456,311,-0.2843,0.9791
13,14,1279,413,0.4007,0.3503
13,15,1383,435,-0.3878,0.8306
13,16,1215,397,0.4588,0.4255
13,17,1366,478,-0.4171,0.7769
13,18,1197,387,0.4758,0.4186
13,19,1349,473,-0.412,0.7737
13,20,1201,379,0.4743,0.4225
13,21,1351,461,-0.3844,0.7466
13,22,1210,381,0.4587,0.4058
13,23,1366,596,-0.1156,0.9999
13,24,1388,605,0.1155,0.9997
13,25,1145,800,-0.1417,0.995
13,26,1508,861,0.0479,0.9057
13,27,1225,1091,-0.115,0.9925
13,28,1765,1015,0.0241,0.9048
13,29,1265,1142,-0.1131,0.9818
13,30,1819,1007,0.0195,0.9237
13,31,1092,1176,-0.1483,0.9915
13,32,1795,1154,-0.0166,0.9352
14,0,1214,155,-0.0277,1.0
14,1,1229,127,-0.0451,0.9999
14,2,1234,126,-0.0451,0.9999
14,3,1239,125,-0.0451,0.9999
14,4,1225,127,-0.009,0.9999
14,5,1226,126,-0.0091,0.9999
14,6,1228,125,-0.009,1.0
14,7,1271,134,-0.085,0.9999
14,8,1259,135,0.0745,0.9999
14,9,1231,181,-0.0411,0.9999
14,10,1225,181,0.0053,0.9998
14,11,1339,250,-0.1773,0.9999
14,12,1294,279,0.2294,0.9998
14,13,1461,305,-0.3578,0.9812
14,14,1299,414,0.3969,0.3385
14,15,1383,430,-0.4728,0.8474
14,16,1222,407,0.5604,0.4626
14,17,1365,467,-0.5016,0.7987
14,18,1198,399,0.5964,0.4551
14,19,1350,462,-0.4954,0.7958
14,20,1201,391,0.5945,0.4584
14,21,1353,451,-0.4692,0.7709
14,22,1213,394,0.5636,0.4409
14,23,1359,605,-0.1156,0.9999
14,24,1380,612,0.1155,0.9997
14,25,1159,820,-0.1227,0.9945
14,26,1496,863,0.0746,0.9111
14,27,1157,1131,-0.1008,0.993
14,28,1772,929,0.07,0.9137
14,29,1186,1180,-0.0996,0.9833
14,30,1822,901,0.0672,0.9307
14,31,1008,1171,-0.1326,0.9919
14,32,1836,1047,0.0436,0.9407
15,0,1214,155,-0.0582,1.0
15,1,1228,127,-0.0779,0.9999
15,2,1233,127,-0.0779,0.9999
15,3,1237,126,-0.0779,0.9999
15,4,1224,127,-0.0431,0.9999
15,5,1226,126,-0.0432,0.9999
15,6,1228,125,-0.0431,1.0
15,7,1270,135,-0.1217,1.0
15,8,1258,135,0.0296,0.9999
15,9,1230,180,-0.0719,0.9999
15,10,1224,181,-0.0278,0.9998
15,11,1335,252,-0.2016,0.9999
15,12,1292,279,0.1623,0.9998
15,13,1461,330,-0.3254,0.983
15,14,1315,416,0.344,0.3095
15,15,1375,444,-0.3755,0.8624
15,16,1241,432,0.4187,0.4341
15,17,1353,476,-0.4025,0.8181
15,18,1227,429,0.4446,0.4334
15,19,1336,469,-0.3931,0.8154
15,20,1222,423,0.4333,0.437
15,21,1342,459,-0.3689,0.7924
15,22,1231,422,0.4159,0.4214
15,23,1354,607,-0.1132,0.9998
15,24,1375,616,0.1132,0.9996
15,25,1195,846,-0.0916,0.9939
15,26,1481,867,0.0833,0.9107
15,27,1152,1163,-0.0782,0.9933
15,28,1744,849,0.0717,0.9199
15,29,1174,1214,-0.0853,0.9843
15,30,1780,812,0.069,0.9359
15,31,1008,1190,-0.0989,0.9916
15,32,1819,931,0.0478,0.9434
16,0,1211,157,-0.0464,1.0
16,1,1225,129,-0.0574,0.9999
16,2,1230,129,-0.0574,0.9999
16,3,1235,128,-0.0573,1.0
16,4,1221,129,-0.039,0.9999
16,5,1223,128,-0.039,0.9999
16,6,1225,127,-0.0387,1.0
16,7,1268,136,-0.0899,1.0
16,8,1256,136,0.0456,0.9999
16,9,1229,182,-0.0495,0.9999
16,10,1223,182,-0.0189,0.9999
16,11,1333,255,-0.1768,1.0
16,12,1296,281,0.1868,0.9997
16,13,1446,355,-0.241,0.9845
16,14,1325,430,0.3301,0.2816
16,15,1351,482,-0.1952,0.8756
16,16,1254,481,0.3417,0.3952
16,17,1307,517,-0.2152,0.8349
16,18,1238,504,0.3497,0.3972
16,19,1289,499,-0.2023,0.8322
16,20,1230,494,0.3255,0.4007
16,21,1301,490,-0.1844,0.8105
16,22,1241,489,0.328,0.3874
16,23,1354,615,-0.1129,0.9998
16,24,1371,618,0.113,0.9993
16,25,1216,883,-0.0974,0.9917
16,26,1458,885,0.1142,0.8996
16,27,1199,1189,-0.0809,0.9932
16,28,1683,811,0.1461,0.9212
16,29,1229,1235,-0.0834,0.9844
16,30,1715,764,0.1503,0.9398
16,31,1058,1239,-0.1392,0.9911
16,32,1785,870,0.1386,0.9431
17,0,1209,166,-0.026,1.0
17,1,1223,138,-0.0414,0.9999
17,2,1227,137,-0.0413,0.9999
17,3,1232,136,-0.0413,1.0
17,4,1219,137,-0.0192,0.9999
17,5,1221,136,-0.0192,0.9999
17,6,1224,135,-0.0189,1.0
17,7,1268,144,-0.0827,1.0
17,8,1255,143,0.0543,0.9999
17,9,1227,190,-0.0349,0.9999
17,10,1222,190,0.0013,0.9999
17,11,1332,276,-0.1739,1.0
17,12,1295,298,0.1872,0.9996
17,13,1436,416,-0.2062,0.9859
17,14,1331,457,0.2337,0.257
17,15,1302,535,-0.1347,0.8872
17,16,1266,550,0.15,0.3603
17,17,1268,568,-0.1521,0.8495
17,18,1246,582,0.1424,0.364
17,19,1255,548,-0.1401,0.8467
17,20,1231,562,0.1166,0.3675
17,21,1267,538,-0.1238,0.8259
17,22,1246,555,0.1339,0.356
17,23,1355,637,-0.1126,0.9998
17,24,1371,635,0.1126,0.9989
17,25,1231,900,-0.0953,0.9907
17,26,1396,901,0.1336,0.8802
17,27,1279,1198,-0.076,0.9933
17,28,1631,798,0.2248,0.9112
17,29,1311,1240,-0.0775,0.9838
17,30,1633,760,0.2347,0.9394
17,31,1161,1248,-0.1433,0.9909
17,32,1709,864,0.2357,0.9368
18,0,1208,183,-0.018,1.0
18,1,1222,155,-0.0356,0.9999
18,2,1226,155,-0.0356,0.9999
18,3,1232,153,-0.0356,0.9999
18,4,1219,155,-0.0071,0.9999
18,5,1221,154,-0.0072,0.9999
18,6,1223,153,-0.007,1.0
18,7,1267,161,-0.0871,1.0
18,8,1255,161,0.061,0.9999
18,9,1227,203,-0.0303,0.9999
18,10,1221,203,0.0095,0.9998
18,11,1332,305,-0.1814,1.0
18,12,1298,318,0.1903,0.9997
18,13,1378,471,-0.2159,0.987
18,14,1353,489,0.2439,0.2346
18,15,1231,547,-0.1285,0.8975
18,16,1328,599,0.1883,0.3329
18,17,1190,559,-0.1495,0.8623
18,18,1306,645,0.1957,0.3387
18,19,1187,543,-0.1292,0.8594
18,20,1301,634,0.1608,0.342
18,21,1201,539,-0.1162,0.8387
18,22,1308,625,0.1718,0.3317
18,23,1379,656,-0.1146,0.9998
18,24,1376,659,0.1148,0.999
18,25,1289,911,-0.1575,0.9913
18,26,1340,920,0.1375,0.8767
18,27,1510,833,-0.0753,0.9922
18,28,1461,1172,0.1917,0.9177
18,29,1534,801,-0.0613,0.9827
18,30,1492,1212,0.1928,0.9413
18,31,1607,921,-0.0258,0.9904
18,32,1359,1229,0.1924,0.9406
19,0,1207,188,-0.0174,1.0
19,1,1221,162,-0.0409,0.9999
19,2,1226,161,-0.0409,0.9999
19,3,1230,160,-0.041,1.0
19,4,1219,161,-0.0056,0.9999
19,5,1221,160,-0.0056,0.9999
19,6,1224,159,-0.0056,1.0
19,7,1264,168,-0.1032,1.0
19,8,1256,167,0.0607,0.9999
19,9,1225,209,-0.0353,0.9999
19,10,1221,209,0.0107,0.9998
19,11,1316,311,-0.1968,1.0
19,12,1332,323,0.1765,0.9996
19,13,1328,488,-0.1915,0.9872
19,14,1437,481,0.2219,0.2256
19,15,1191,532,-0.0612,0.9045
19,16,1412,581,0.1691,0.3174
19,17,1149,554,-0.0696,0.871
19,18,1410,608,0.1671,0.3259
19,19,1151,533,-0.0596,0.8683
19,20,1427,593,0.1461,0.3293
19,21,1166,531,-0.0505,0.8465
19,22,1424,585,0.1565,0.3183
19,23,1388,664,-0.1184,0.9998
19,24,1377,666,0.1184,0.9989
19,25,1390,931,-0.1124,0.9917
19,26,1224,882,0.1259,0.8782
19,27,1549,1157,-0.0427,0.9929
19,28,1465,903,0.2865,0.9133
19,29,1599,1186,-0.0378,0.9835
19,30,1500,880,0.3035,0.9407
19,31,1464,1219,-0.0845,0.9912
19,32,1490,1003,0.3225,0.9405
20,0,1207,187,-0.0389,0.9999
20,1,1221,161,-0.0641,0.9999
20,2,1225,160,-0.0642,0.9999
20,3,1230,159,-0.0643,1.0
20,4,1219,161,-0.0286,0.9999
20,5,1221,160,-0.0286,0.9999
20,6,1224,159,-0.0286,1.0
20,7,1261,166,-0.1255,1.0
20,8,1256,166,0.0335,0.9999
20,9,1223,209,-0.0582,0.9999
20,10,1220,209,-0.0125,0.9998
20,11,1302,305,-0.2078,1.0
20,12,1341,319,0.137,0.9996
20,13,1309,479,-0.1723,0.9843
20,14,1466,461,0.1758,0.2249
20,15,1176,495,-0.0081,0.9007
20,16,1415,559,0.125,0.304
20,17,1143,487,-0.0131,0.8646
20,18,1447,579,0.1197,0.3137
20,19,1152,466,-0.0049,0.8622
20,20,1440,565,0.1023,0.3172
20,21,1165,468,0.0019,0.8357
20,22,1437,560,0.1141,0.3049
20,23,1392,662,-0.1148,0.9998
20,24,1371,663,0.1148,0.9988
20,25,1460,937,-0.0926,0.9918
20,26,1168,830,0.1287,0.8836
20,27,1634,1161,-0.0242,0.9934
20,28,1422,902,0.332,0.9091
20,29,1683,1186,-0.0197,0.9831
20,30,1449,882,0.352,0.9341
20,31,1560,1249,-0.0931,0.9919
20,32,1455,988,0.3632,0.9378
21,0,1210,172,-0.0287,1.0
21,1,1224,147,-0.0522,0.9999
21,2,1227,146,-0.0523,0.9999
21,3,1231,146,-0.0523,1.0
21,4,1224,145,-0.0179,0.9999
21,5,1227,144,-0.0179,0.9999
21,6,1230,143,-0.0179,1.0
21,7,1261,156,-0.1102,1.0
21,8,1262,154,0.0414,0.9999
21,9,1224,196,-0.0465,0.9999
21,10,1222,195,-0.0023,0.9999
21,11,1288,294,-0.1963,1.0
21,12,1345,302,0.1355,0.9997
21,13,1285,461,-0.1569,0.9851
21,14,1492,413,0.1858,0.2512
21,15,1177,421,0.0291,0.8994
21,16,1416,535,0.1611,0.3081
21,17,1147,409,0.0304,0.8575
21,18,1415,564,0.1595,0.313
21,19,1160,391,0.0398,0.8548
21,20,1404,563,0.1421,0.3167
21,21,1171,395,0.04,0.8258
21,22,1402,548,0.1512,0.3031
21,23,1389,651,-0.1126,0.9998
21,24,1360,655,0.1124,0.9989
21,25,1531,916,-0.1248,0.9925
21,26,1162,790,0.1277,0.8932
21,27,1711,1127,-0.1027,0.9941
21,28,1335,945,0.2668,0.917
21,29,1752,1152,-0.1009,0.9843
21,30,1383,974,0.2779,0.9384
21,31,1698,1235,-0.1797,0.9926
21,32,1290,1081,0.2713,0.9429
22,0,1210,157,0.0439,1.0
22,1,1224,132,0.0177,0.9999
22,2,1227,132,0.0176,0.9999
22,3,1231,132,0.0176,1.0
22,4,1224,131,0.0478,0.9999
22,5,1227,130,0.0478,0.9999
22,6,1230,129,0.0478,1.0
22,7,1260,142,-0.0568,1.0
22,8,1263,140,0.0793,0.9999
22,9,1224,182,0.0201,0.9999
22,10,1222,182,0.0592,0.9999
22,11,1284,278,-0.1579,1.0
22,12,1350,289,0.1495,0.9997
22,13,1278,450,-0.1032,0.9854
22,14,1493,384,0.2131,0.2805
22,15,1196,406,0.1009,0.8898
22,16,1425,510,0.1991,0.3108
22,17,1164,395,0.1095,0.8374
22,18,1423,544,0.2021,0.3097
22,19,1177,380,0.1196,0.8339
22,20,1406,543,0.1838,0.3133
22,21,1187,383,0.1129,0.8021
22,22,1405,532,0.1893,0.2986
22,23,1388,631,-0.1144,0.9998
22,24,1357,641,0.1142,0.999
22,25,1536,884,-0.168,0.9932
22,26,1154,785,0.1249,0.9018
22,27,1758,1055,-0.1512,0.9946
22,28,1258,1029,0.2328,0.9248
